bodytype,seats,kms,modelYear,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,Gearbox,Mileage,DriveType,city,model
SUV,5,9554,2019,Petrol,1,Manual,1085000,Third Party,998,Hyundai,6,18.27,FWD,Bangalore,Hyundai Venue
SUV,5,14000,2022,Petrol,1,Automatic,2590000,Comprehensive,1368,Jeep,7,14.1,4WD,Bangalore,Jeep Compass
SUV,5,74499,2013,Diesel,2,Manual,516000,Third Party,1461,Renault,5,20.45,FWD,Bangalore,Renault Duster
SUV,5,56211,2017,Petrol,2,Automatic,777000,Comprehensive,1497,Ford,6,14.8,FWD,Bangalore,Ford Ecosport
Hatchback,5,9001,2019,Petrol,1,Manual,753000,Comprehensive,1199,Honda,5,18.2,FWD,Bangalore,Honda Jazz
SUV,7,65457,2017,Diesel,2,Automatic,1226000,Third Party,1997,Mahindra,6,16.0,FWD,Bangalore,Mahindra XUV500
Hatchback,5,23682,2017,Petrol,1,Manual,725000,Comprehensive,1199,Honda,5,18.7,FWD,Bangalore,Honda Jazz
Sedan,5,50000,2020,Diesel,1,Manual,1150000,Third Party,1582,Hyundai,6,22.0,FWD,Bangalore,Hyundai Verna
Hatchback,5,134557,2015,Diesel,2,Manual,629000,Comprehensive,1248,Maruti,5,25.2,FWD,Bangalore,Maruti Swift
Sedan,5,96567,2013,Petrol,2,Manual,447000,Comprehensive,1197,Maruti,5,22.41,FWD,Bangalore,Maruti Swift Dzire
MUV,7,83007,2014,Diesel,2,Manual,786000,Comprehensive,1248,Maruti,5,20.77,FWD,Bangalore,Maruti Ertiga
Hatchback,5,34000,2018,Petrol,1,Manual,745000,Comprehensive,1199,Honda,5,18.7,FWD,Bangalore,Honda Jazz
Hatchback,5,81634,2014,Petrol,1,Automatic,490000,Comprehensive,1197,Hyundai,4,18.9,FWD,Bangalore,Hyundai Grand i10
Sedan,5,57284,2017,Petrol,2,Automatic,942000,Comprehensive,1497,Honda,5,18.0,FWD,Bangalore,Honda City
